labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
680,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.805,0.783,0.829,1,[0, 14, 0, 189],0.741,0.683,0.81,6,[827, 0, 0, 4],0.779,0.784,0.773,6,[887, 0, 0, 1],0.775,0.026,0.75,0.047,0.804,0.023
700,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.77,0.693,0.865,8,[1362, 0, 0, 3],0.815,0.804,0.826,1,[0, 5, 0, 94],0.778,0.693,0.887,2,[0, 1, 0, 50],0.788,0.02,0.73,0.052,0.859,0.025
720,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.848,0.805,0.895,1,[0, 5, 0, 210],0.763,0.738,0.79,4,[344, 1, 0, 4],0.82,0.814,0.827,2,[77, 1, 0, 12],0.81,0.035,0.786,0.034,0.837,0.043
740,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.811,0.749,0.883,6,[896, 0, 1, 2],0.845,0.829,0.861,2,[0, 4, 0, 92],0.823,0.812,0.834,2,[1, 1, 0, 47],0.826,0.014,0.797,0.034,0.859,0.02
760,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.813,0.722,0.931,1,[0, 15, 0, 241],0.805,0.853,0.763,3,[278, 0, 0, 18],0.834,0.825,0.844,3,[270, 0, 0, 5],0.817,0.012,0.8,0.056,0.846,0.069
780,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.796,0.768,0.827,6,[1023, 0, 2, 2],0.835,0.815,0.856,2,[0, 0, 0, 18],0.778,0.701,0.873,2,[0, 0, 0, 38],0.803,0.024,0.761,0.047,0.852,0.019
800,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.865,0.834,0.898,1,[0, 17, 0, 316],0.847,0.817,0.878,2,[95, 1, 0, 24],0.806,0.766,0.849,2,[99, 1, 0, 35],0.839,0.025,0.806,0.029,0.875,0.02
820,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.806,0.78,0.834,9,[1695, 0, 0, 0],0.838,0.774,0.912,2,[0, 0, 0, 21],0.803,0.738,0.882,1,[3, 8, 0, 101],0.816,0.016,0.764,0.019,0.876,0.032
840,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.861,0.854,0.868,1,[0, 2, 0, 286],0.828,0.772,0.893,2,[31, 0, 0, 50],0.804,0.802,0.807,5,[917, 0, 1, 0],0.831,0.023,0.809,0.034,0.856,0.036
860,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.815,0.77,0.866,7,[1485, 0, 0, 1],0.858,0.801,0.922,1,[22, 1, 0, 168],0.842,0.793,0.898,1,[0, 5, 0, 109],0.838,0.018,0.788,0.013,0.895,0.023
880,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.859,0.854,0.863,1,[0, 5, 0, 285],0.801,0.797,0.805,5,[746, 0, 0, 1],0.808,0.764,0.856,8,[1590, 0, 1, 0],0.823,0.026,0.805,0.037,0.841,0.026
900,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.846,0.803,0.895,8,[1975, 0, 1, 22],0.868,0.865,0.87,1,[0, 3, 0, 170],0.838,0.779,0.907,1,[0, 6, 0, 292],0.851,0.013,0.816,0.036,0.891,0.015
920,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.887,0.853,0.924,1,[0, 3, 0, 299],0.823,0.765,0.892,7,[1684, 0, 1, 0],0.815,0.843,0.788,5,[918, 0, 1, 0],0.842,0.032,0.82,0.039,0.868,0.058
940,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.815,0.761,0.878,8,[1706, 0, 0, 2],0.895,0.906,0.883,1,[0, 7, 0, 269],0.845,0.813,0.878,2,[0, 2, 0, 95],0.852,0.033,0.827,0.06,0.88,0.002
960,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.9,0.863,0.941,1,[0, 6, 0, 490],0.826,0.769,0.892,6,[1441, 0, 0, 2],0.845,0.887,0.807,2,[133, 0, 0, 13],0.857,0.031,0.84,0.051,0.88,0.055
980,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.859,0.853,0.865,4,[642, 0, 0, 1],0.876,0.814,0.948,1,[0, 4, 0, 317],0.826,0.771,0.89,2,[0, 0, 0, 37],0.854,0.021,0.813,0.033,0.901,0.035
1000,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.873,0.895,0.851,1,[0, 1, 0, 145],0.842,0.827,0.858,5,[915, 0, 0, 0],0.877,0.877,0.878,2,[98, 0, 0, 32],0.864,0.016,0.866,0.029,0.862,0.011
